train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,"c1,1","c1,2",rmse,kfold rmse
cc_align,25,gov,1,flores,19.822799758347745,-24.59133192369555,-22.72666868043466,1.6376812876747417,1.7378147196982736
cc_align,25,gov,1,bible,6.65000955618896,-10.687555744435906,-9.374920365091139,0.27838821814150105,0.2792848008753757
cc_align,25,gov,1,gov,29.24146432745283,-10.825208576807778,-18.821130604558103,2.669831455354438,2.673989944300879
cc_align,25,gov,10,flores,33.48118371336442,-38.78607166129249,-34.9484690552972,2.345527659184602,2.5406473365835094
cc_align,25,gov,10,bible,7.396045867120538,-9.143600891536893,-8.366284440661156,0.7014271166700072,0.703957069229292
cc_align,25,gov,10,gov,32.35434936502701,11.828795370662167,-12.255421958071338,3.8664583277206033,3.8676722831125825
cc_align,25,gov,25,flores,35.16885620282917,-38.52666118316783,-35.676198309763585,2.5055937420100647,2.719967320065116
cc_align,25,gov,25,bible,9.172321664551816,-11.65104304321879,-10.855652795401914,0.7276675064890558,0.7386173268720113
cc_align,25,gov,25,gov,35.55318480956305,12.835588610882397,-12.265126586967394,4.348045537940007,4.3485629810317725
cc_align,25,gov,50,flores,12.644908004432748,6.041364627389015,3.3659134038222347,3.2690467519854565,3.5368176183820776
cc_align,25,gov,50,bible,2.4960137295812004,1.544653840419244,1.1632795890690701,0.5887840577551897,0.5972206759197413
cc_align,25,gov,50,gov,33.007085357379175,19.054121134307348,13.362080347273176,5.436502143433363,5.500007029288354
cc_align,25,bible,1,flores,5.63477268291531,-7.744507317026924,-6.793560975654091,0.46690470119714994,0.4671426144361303
cc_align,25,bible,1,bible,13.086350895104893,9.871286588508486,9.469590420877385,2.630969403090807,2.6404545059709386
cc_align,25,bible,1,gov,3.3170489986735583,-4.391119158929081,-4.441258344387037,0.3924283374069717,0.406065128886958
cc_align,25,bible,10,flores,9.326104071664936,-12.589773751378743,-11.657466069459005,0.4620606020859168,0.4635610950984652
cc_align,25,bible,10,bible,16.451278856439558,20.57587342945137,24.177323564355756,3.2003124847427014,3.2155870379541622
cc_align,25,bible,10,gov,7.586807872437993,-11.527212589222161,-10.318267729681848,0.4577116996538324,0.46260134024882593
cc_align,25,bible,25,flores,10.184138128893421,-13.76163908521158,-12.840515592554967,0.47486840282335063,0.47772609539591077
cc_align,25,bible,25,bible,19.121952769736843,23.767775509870155,24.974606414468298,3.117932006955893,3.132872306508653
cc_align,25,bible,25,gov,8.542624671622109,-12.686143917795453,-11.519794403149607,0.4488875137492688,0.4504318915095699
cc_align,100,gov,1,flores,19.25826931776038,-20.944071020269398,-19.722755685328636,1.6375286257039903,1.745279347267938
cc_align,100,gov,1,bible,6.670475518157641,-10.202773855919506,-8.996037348686553,0.2863564212655271,0.28982753506946696
cc_align,100,gov,1,gov,27.053472414418138,-4.124422416755851,-10.179396548176273,2.323252031097789,2.325271788168763
cc_align,100,gov,10,flores,33.76596718800008,-36.46814192999896,-33.616940100003795,2.2458851261807666,2.4174366589426857
cc_align,100,gov,10,bible,8.159757559217317,-9.536085762097919,-8.87702033986399,0.6939020103732225,0.7028513356322369
cc_align,100,gov,10,gov,32.448417674536074,13.446730089488725,-13.138185679336791,3.9326199918120732,3.9326270552411757
cc_align,100,gov,25,flores,34.27144335651565,-33.87508624634114,-32.321305362369856,2.332809465001375,2.4827404213892335
cc_align,100,gov,25,bible,8.494120354910242,-9.340702070309746,-8.798997042414342,0.7549834435270748,0.7794585014967498
cc_align,100,gov,25,gov,34.85675267403726,12.773109401449936,-4.318727716360247,4.476773391629288,4.476779596490715
cc_align,100,gov,50,flores,13.691402763080346,7.087955477103761,4.417177371321797,3.51409858838492,3.7526860565388613
cc_align,100,gov,50,bible,3.827971630228618,1.0576735855955122,-0.11067331958388764,0.41096093353126506,0.4123129098752017
cc_align,100,gov,50,gov,33.0921929875677,19.140065565607358,13.448629913683964,5.640921910468181,5.704613259065232
cc_align,100,bible,1,flores,5.830699533887357,-7.720747281080198,-6.8275038840899285,0.45825756949558394,0.4584999697080164
cc_align,100,bible,1,bible,12.026619639672054,12.71971876857967,13.971830330600438,2.5569513096654783,2.57604347789396
cc_align,100,bible,1,gov,4.243740619214012,-5.775986945415461,-5.6771615065487735,0.4018706259482024,0.41338709327806794
cc_align,100,bible,10,flores,10.146986014571029,-13.128251751664289,-12.31678321190818,0.46636895265444084,0.4692784058767481
cc_align,100,bible,10,bible,16.721790137841964,20.956224195921443,24.34825114868544,3.3063575124296523,3.3197724148179857
cc_align,100,bible,10,gov,8.19279287312799,-11.770458426579376,-10.685059390601703,0.47486840282335063,0.4749268949591671
cc_align,100,bible,25,flores,12.071827100874529,-16.7106580893297,-13.984774157079103,0.5079370039680117,0.5185449728700865
cc_align,100,bible,25,bible,18.826301705600777,24.971573383996137,26.46918088000425,3.1012900541548833,3.1236019094770797
cc_align,100,bible,25,gov,9.381932877002127,-13.540441782512561,-12.442226024981837,0.5034878350069641,0.512726914535301
gov,25,bible,1,flores,7.880377649281769,-11.489702954143704,-10.371852922651893,0.5034878350069641,0.5127269145352997
gov,25,bible,1,bible,13.22413897108288,10.255022668686168,9.99282475901782,2.1957914290751757,2.2486045025428774
gov,25,bible,1,gov,7.919912474564093,-11.3244894349572,-10.250729378632613,0.47958315233127197,0.4908043285148256
gov,25,bible,10,flores,13.013371884588475,-19.203002660100555,-16.138567628426237,0.5531726674375732,0.5769652406245119
gov,25,bible,10,bible,15.923906044496006,21.77721494114869,26.032549848840954,3.2612880890838194,3.305147499174273
gov,25,bible,10,gov,19.021432721525155,-26.812524208898353,-24.19639398728571,0.8564461454172119,0.8952963506881599
gov,25,bible,25,flores,15.31091693060575,-23.063682095200267,-19.90902557828523,0.529150262212918,0.5366563145999491
gov,25,bible,25,bible,18.90575368398191,24.278936843437137,25.67294736652167,2.906802366862941,2.942145853322402
gov,25,bible,25,gov,21.396545859551086,-30.334017514054494,-27.737117837057742,1.1249444430726347,1.1973118038152244
gov,1,bible,1,flores,7.430655158210193,-11.38715508955821,-10.161207014917832,0.5567764362830021,0.5585696017507576
gov,1,bible,1,bible,12.735133029247898,8.12839067846245,6.9594418704954375,2.7546324618721827,2.7676705005287467
gov,1,bible,1,gov,11.177132097820449,-16.55410390395368,-14.565565851493416,0.6492303135251772,0.6543869056005601
gov,1,bible,10,flores,12.602602205604779,-18.931846199360397,-15.811648286627964,0.5019960159204453,0.5099019514274964
gov,1,bible,10,bible,16.728871989726528,19.060746735081537,21.69893322565524,3.5712042786712717,3.6000308639946588
gov,1,bible,10,gov,22.21579751543853,-30.86298550673428,-28.41002070465528,1.9051246678367273,1.9854470527501267
gov,1,bible,25,flores,14.006758864534126,-20.997760043115537,-17.86034279554941,0.5000000000000001,0.5019960159204438
gov,1,bible,25,bible,20.571131487437448,20.585067788964736,20.59275857732644,3.3994117138116713,3.4181866537682986
gov,1,bible,25,gov,23.035343597238167,-31.39367098390538,-29.080470022972307,2.1884926319272813,2.2911908596962207
gov,10,bible,1,flores,7.7241820403821295,-11.349395235562417,-10.215149663482268,0.5118593556827891,0.5291502626847685
gov,10,bible,1,bible,13.5434814362129,9.100525011722894,8.070678488060611,2.0865042535302916,2.14543442742047
gov,10,bible,1,gov,8.79674031568764,-12.814318508177937,-11.693830702602906,0.4690415759823431,0.47749345545253247
gov,10,bible,10,flores,12.466413959802665,-18.30408143218224,-15.279883668311054,0.49396356140913883,0.5081557066709209
gov,10,bible,10,bible,16.922330705722853,19.51557092548709,22.477755771465063,3.181430495861885,3.2276238249764413
gov,10,bible,10,gov,19.353119419484713,-26.601529946995736,-24.140671504289912,1.2657013865837392,1.3038404810405142
gov,10,bible,25,flores,14.474676540064893,-21.414779817045122,-18.336028832792792,0.4577116996538323,0.4606758320361751
gov,10,bible,25,bible,18.295175482698752,24.965643017591823,26.834795689153363,3.055732318119504,3.075747424972053
gov,10,bible,25,gov,19.295481529009344,-25.640308919222235,-23.37098725825262,1.5607690412101336,1.641002403681611
gov,50,bible,1,flores,1.577417934486441,0.6256183965747039,0.24375857549238883,0.7408703590297623,0.763215588345639
gov,50,bible,1,bible,15.483339466319118,8.886251519974584,6.221832868902278,2.3697163449568293,2.687022568623818
gov,50,bible,1,gov,1.577416671054943,0.6256193870511555,0.24376399565738094,0.6018490028422596,0.6164433406402738
gov,50,bible,10,flores,2.1969557744421424,1.2453954948789994,0.8638710058724489,0.6847546194724713,0.7182158659056881
gov,50,bible,10,bible,24.810152653387902,10.920873390141788,5.134362440971554,3.3536050254415284,3.6536549529783238
gov,50,bible,10,gov,4.686225341430929,1.8405189036628054,0.6931276833687672,0.590668171555645,0.635090115978369
gov,50,bible,25,flores,2.3678519204094646,1.416394263865659,1.03493983777677,0.5887840577551897,0.5972108499592922
gov,50,bible,25,bible,27.465184411795583,13.487599438257082,7.74859883063487,3.149603149604724,3.446740385529635
gov,50,bible,25,gov,5.09256482505209,2.245540418856054,1.0992854324677064,0.6236095644623235,0.7500012299509718
bible,25,gov,1,flores,17.97102388566116,-23.247639333023294,-21.074800952824038,1.2049896265113655,1.3190905958272916
bible,25,gov,1,bible,14.68716043917006,-22.50843589515861,-19.273663006916397,0.9359487165438073,0.9477458637325883
bible,25,gov,1,gov,28.313885512440162,-10.247665489226078,-18.21762072969192,1.6958773540560066,1.702416583043716
bible,25,gov,10,flores,31.552153925803246,-37.575064567187205,-33.10705061830193,2.45142815517812,2.691261581008781
bible,25,gov,10,bible,18.869334337213587,-18.571116967079032,-17.75554718988754,2.0425474290698857,2.0460259583451577
bible,25,gov,10,gov,31.175589262646824,11.829895967898649,-5.8284228112940015,3.833731863341514,3.8346084835641596
bible,25,gov,25,flores,33.465370651902056,-37.06882880276173,-33.8302445674833,2.55685353510912,2.7758882462295857
bible,25,gov,25,bible,18.839593854006655,-16.355964148371797,-15.920051216612466,2.575655256434758,2.5760434778939594
bible,25,gov,25,gov,33.14055939090944,13.38840355298859,1.5879949243366493,4.56618002273235,4.566204356160833
bible,25,gov,50,flores,11.809987768949092,5.21238262829715,2.53161978632319,3.4938040395343672,3.8022136313430828
bible,25,gov,50,bible,9.78165739163392,4.183980539143544,1.3213566210966115,0.8259674462242579,1.011187280006507
bible,25,gov,50,gov,32.70919149282476,18.75334642575709,13.059187105452837,5.5874860178795975,5.625166994196977
bible,1,gov,1,flores,17.01705133388492,-23.72446611432861,-21.107905550959373,1.4825653442597395,1.5093780912091657
bible,1,gov,1,bible,13.379889075930436,-17.98685294292911,-15.375924367241668,1.7451360978445205,1.7470610241838014
bible,1,gov,1,gov,29.31229007307028,-18.509192092905458,-21.772582724425217,3.7241777616005387,3.7575109965081364
bible,1,gov,10,flores,31.19913206254732,-38.869937031525765,-33.75723281210603,2.4855582873873625,2.6787227470485657
bible,1,gov,10,bible,16.247138293551945,-16.795806712386778,-15.648847553732898,2.45142815517812,2.457415082742197
bible,1,gov,10,gov,30.81305785508265,11.548829178684933,-8.641184540978964,4.002749055336845,4.003442962713963
bible,1,gov,25,flores,33.90849468456265,-39.36205232661473,-35.554210961980644,2.648301342370237,2.866007676193488
bible,1,gov,25,bible,15.851312785043454,-15.195157912755679,-14.364060124618565,2.5670021425779916,2.5760866090742542
bible,1,gov,25,gov,33.734236678510506,12.529452708766385,-3.2563610126334064,4.376014168167192,4.377086803901496
bible,1,gov,50,flores,11.573719527073337,4.980132796067039,2.2972542989573945,3.4883934538536345,3.8240141206901335
bible,1,gov,50,bible,7.078597080431078,4.23385199457316,3.0908049275395286,0.49216076867444714,0.5678901206858298
bible,1,gov,50,gov,32.56023286795779,18.602984418890404,12.907750194706436,5.492014404771917,5.5625986901812885
bible,10,gov,1,flores,17.230878160890754,-22.38845593852937,-20.159348659243992,1.3091982279242513,1.4093339640490563
bible,10,gov,1,bible,14.298117864370493,-21.75985420882791,-18.557351130245788,1.051427600931229,1.0535653752852738
bible,10,gov,1,gov,27.124239106516068,-9.28722830647729,-17.08967363069536,1.8432308591166768,1.8498648599289638
bible,10,gov,10,flores,31.147513920015964,-37.33966453342658,-32.72905066653344,2.477397828367499,2.6853098326531897
bible,10,gov,10,bible,18.085260552708334,-17.85151989079836,-16.997828727431163,2.36674882486503,2.3667605615176948
bible,10,gov,10,gov,31.23557489032143,12.584146473295634,-10.12020924778654,3.898974224074841,3.8990027214945715
bible,10,gov,25,flores,33.9601721031359,-38.66350393496205,-35.12356580719415,2.545093318524883,2.7478880779407446
bible,10,gov,25,bible,17.794550935003706,-15.468214470530365,-15.045407099809529,2.5400787389370434,2.540253705614637
bible,10,gov,25,gov,33.516995738429024,12.880024859193602,-0.9000355131576308,4.406075351148685,4.40623295899011
bible,10,gov,50,flores,11.65972825589294,5.064419227062126,2.3823169996962297,3.3717782977071455,3.6637556163095764
bible,10,gov,50,bible,8.614903727151486,4.981136713478671,2.662343254939843,0.8730533902472524,1.0688792311407214
bible,10,gov,50,gov,32.687911246351014,18.73186746178595,13.03755272250894,5.487764167268448,5.536516263736769
