train set 1 size,train set 2,train set 2 size,language to,c0,"c1,1","c1,2",rmse,kfold rmse
25,gov,1,ka,-8.061994367132897,124.45069319576494,-175.20656321139128,6.1208098297203595,6.539264277803037
25,gov,1,gu,-1.1892184058138249,87.89266934572922,-115.59516704956565,7.6584962285955935,9.063365021391993
25,gov,1,hi,4.45546940075719,-0.9952585462423159,38.54203671747367,7.002641984062504,10.307951339934496
25,gov,1,si,-7.441284237751198,100.68409129327462,-122.46738777305185,9.760804694784161,13.174416556489613
25,gov,1,ta,5.105760198160066,-36.61692684048509,102.14885051144914,8.011040520076245,15.95961079803942
25,gov,10,ka,-14.104904129346368,237.18646984952144,-341.25342988218347,8.95293813208811,9.531007279647007
25,gov,10,gu,-0.25483688261870296,144.16609596335113,-202.35432594320918,10.18284709291344,12.257957746260356
25,gov,10,hi,13.504390971883465,-29.17181464136267,95.07606032348293,9.950005908867505,14.525534775582607
25,gov,10,si,0.9345455437456236,105.0374624494683,-129.2426286656433,15.880400041955717,21.730159225305176
25,gov,10,ta,14.475382576295553,-76.05795727178192,175.3900061056672,11.80663981162095,23.912302675222307
25,gov,25,ka,-17.13774650436074,273.4489577427336,-391.6757762016295,9.746444490148027,10.390375376079989
25,gov,25,gu,-0.7667991582249044,159.7692203572566,-222.71975582367767,11.021836447264521,13.22791691029769
25,gov,25,hi,13.95001951457532,-24.85754051706293,92.67947450268788,10.655867408878075,15.344966054394233
25,gov,25,si,3.1367380255135235,106.86427021377052,-131.53188781192614,17.586232686201377,24.12658653159318
25,gov,25,ta,17.020189294071056,-86.61078009005965,196.85640617294675,12.816484408416631,25.77609719754578
25,gov,50,hi,12.933432778758158,-9.136539603979164,70.30079386263088,11.06484908419469,15.924294356060702
25,gov,50,si,1.6564511326912037,124.49657793156642,-154.16377524074477,18.58573030127948,25.44058890338779
25,gov,50,ta,17.01410875461411,-78.34623985349396,187.79987506224677,13.441839487473379,27.54678363288483
25,bible,1,ka,13.224503925546083,-102.49543454123679,180.6881302426975,4.337851427688065,7.634734307243009
25,bible,1,gu,22.08146474183954,-150.25752473804317,261.09900407809886,2.3543226489035285,10.878178068515426
25,bible,1,hi,19.208103823771683,-162.09557965175213,319.3683307943596,3.9374050402026626,3.9479090736952314
25,bible,1,si,11.655244719512957,-133.44860566760843,266.93561362049206,2.2536747585682524,2.3540789005455953
25,bible,1,ta,6.68465302704811,-75.34869954949467,167.97644040725052,4.447503679389875,66.51602481764532
25,bible,10,ka,22.25588294748348,-171.548193117252,300.1469708702985,6.535943777989436,13.428361629022366
25,bible,10,gu,39.816703332557,-248.20729288175096,408.71154014232627,3.1218812811562486,14.304487238571578
25,bible,10,hi,29.12960067505744,-243.4701317522319,476.29201621596815,5.841283423502747,5.930036290681634
25,bible,10,si,22.828573442552067,-221.1916784027693,422.05388220677014,3.31108312604305,3.3266344766440246
25,bible,10,ta,15.213011051114218,-136.40401382695467,280.2245882126672,6.828879886180023,70.63455212723663
25,bible,25,ka,25.07579194735441,-198.99259548213843,351.38485930436104,7.519252688847513,15.610922699172605
25,bible,25,gu,45.23835293508271,-283.9116581723483,469.0484744069958,3.575179084291223,15.913741894384234
25,bible,25,hi,34.813747958545,-290.14822639669273,562.9220227422954,6.594949027883532,6.649236760143739
25,bible,25,si,24.475272542061735,-241.12991510181425,462.42252232878894,3.922255003167388,4.3727506006591375
25,bible,25,ta,17.60244556103544,-156.8299102850525,322.2235421585252,7.783289883960372,72.05488973201678
100,gov,1,ka,-177.43633136510815,877.1174503025198,-999.9999999999999,4.328774901599787,8.173826479846126
100,gov,1,gu,-165.00190465204486,857.2476997624473,-999.9999999999992,4.451705831815464,9.42775312005653
100,gov,1,hi,-120.65245994027931,739.9566463812861,-999.9999999999999,5.454055744876532,8.817435125192253
100,gov,1,si,241.16733153541117,-985.460745351206,999.9999999999999,3.192829832934217,10.712254531071386
100,gov,1,ta,-119.64302307551786,732.4710629468135,-999.99999999998,7.307650036414309,11.042883083897992
100,gov,10,ka,-150.65247741029498,831.3629496616883,-999.9999999999999,6.710733017082333,11.213566407605763
100,gov,10,gu,-138.28597292993138,813.0743130424149,-999.9999999999999,6.353976553382883,11.714688075050743
100,gov,10,hi,-95.65436369910529,694.3519833385992,-999.9999999999837,7.524870689113843,11.372064181994647
100,gov,10,si,262.63929489694533,-999.9999999999999,955.6294869825888,6.359180151032632,15.797732181641143
100,gov,10,ta,-97.45537296077481,692.026981106399,-999.9999999999839,10.367242340606014,15.046083903256347
100,gov,25,ka,-142.12950427759142,816.96087705066,-999.9999999999999,7.368222247081424,12.050147814279468
100,gov,25,gu,-133.08760283413733,805.0528787726385,-999.9999999999999,7.249724490785606,12.818542880981505
100,gov,25,hi,-88.68683460814218,681.1901869689885,-999.9999999999918,8.094311186726328,12.072437841746224
100,gov,25,si,268.0424608684395,-999.9999999999999,936.2571265722406,7.591888553006573,17.756186676585905
100,gov,25,ta,-89.80974385444124,677.7951465455044,-999.9999999999924,11.20125388728808,16.13363958034389
100,gov,50,hi,-80.68036568584837,664.990368169872,-999.9999999999928,7.687415305343456,11.543928370121746
100,gov,50,si,271.4778908037029,-999.9999999999999,926.3819760698799,8.288634218425704,18.86567381653466
100,gov,50,ta,-83.54259094787908,665.2940927774754,-999.9999999999927,11.316921327450023,16.276416309458412
100,bible,1,ka,121.37306482768174,-591.0062892868925,723.9132277928103,1.803625559229284e-14,1.7730621084610931
100,bible,1,gu,138.78509584614756,-670.383843018059,819.4024869869256,3.5565049179118595e-14,3.0937162527066606
100,bible,1,hi,121.3940760843125,-692.8963567520699,999.9999999999999,1.1638374489008576,3.372638391583533
100,bible,1,si,79.81382923308067,-456.7022956002603,658.7875416424225,5.039612250159814e-12,3.089007173405421
100,bible,1,ta,119.61858947849923,-688.7019028160954,999.9999999999911,0.4827635347988259,2.0128928516372055
100,bible,10,ka,161.7964018981426,-800.6129832846216,999.9999999999999,0.6134187498475179,3.211655107444327
100,bible,10,gu,164.02973151861636,-800.9113390637092,999.9999999999999,0.568790114710565,4.4518763797795105
100,bible,10,hi,99.35241916298138,-630.2652872926878,999.9999999999952,2.4562481261478792,4.931883494661957
100,bible,10,si,119.65361837706905,-678.3860438262808,974.1548267630151,2.5386556307842317e-11,4.5752337289046885
100,bible,10,ta,98.15569571441817,-623.4914127204,999.9999999999999,1.251385275407735,2.97607464457485
100,bible,25,ka,151.02746510367928,-773.3112850180703,999.9999999999999,0.9931647545670629,3.6851471294032505
100,bible,25,gu,157.84291860601837,-783.627395180388,999.9999999999999,1.0951192529589062,4.996479120368839
100,bible,25,hi,86.86863762899347,-595.8937154887902,999.9999999999994,3.090769673022085,5.693703200323847
100,bible,25,si,117.84246070041155,-681.9690718389817,999.9999999999999,0.23966361408594467,5.042381989479318
100,bible,25,ta,89.4208072204193,-597.2123276146756,999.9999999999999,1.453222058307123,3.222329345250925
1,gov,1,ka,31.38937482397895,-323.98056154715465,544.9318756779367,1.0047160559802621e-14,5.0835097079060585
1,gov,1,gu,39.359264686620655,-347.9612109750476,584.313459124994,1.3489400115312024e-14,7.822683898657328
1,gov,1,hi,48.63039060855393,-447.63725842965886,745.3631861730053,1.518585980310661e-14,7.531281807392943
1,gov,1,si,44.77510313270989,-328.1965165203238,494.6161665028664,1.7811961397127804e-10,10.34337573836567
1,gov,1,ta,27.52813935918258,-248.72274031324403,409.5300993113239,1.538370149106851e-15,9.891429042519604
1,gov,10,ka,56.36361863224144,-578.343844074763,999.9999999999999,0.713019552661327,10.340432939531773
1,gov,10,gu,46.748920712175604,-395.83122848367276,687.778946882707,2.5121479338940402e-14,9.158339000454472
1,gov,10,hi,62.72356410406068,-569.4370032801547,969.8233692134261,1.2212678274003643e-12,9.751313503077146
1,gov,10,si,81.64619613376492,-580.1700583568918,872.2742638400438,9.971360413406805e-14,18.30517303588671
1,gov,10,ta,44.67398453833008,-392.2885151983754,648.4544078651655,1.3915320302986786e-11,15.54996730784642
1,gov,25,ka,55.30229107997449,-568.1506618941935,999.9999999999999,1.2434707623932397,11.092530649726985
1,gov,25,gu,48.61887255118445,-414.96924360237256,729.510056724484,2.051160198809135e-14,9.589880926549347
1,gov,25,hi,62.66051985730708,-569.0911138112216,978.7385117320373,2.454973994951582e-14,9.811644752603703
1,gov,25,si,89.85833555578567,-639.0562209386115,963.7004132546602,5.761533380246979e-14,20.133092991837827
1,gov,25,ta,47.415706426147906,-415.83229402621373,693.4367786407096,1.507288760336424e-14,16.69695653478938
1,gov,50,hi,59.6319533447512,-540.5733821360236,941.3102173978181,1.806798548806913e-12,9.387070285124345
1,gov,50,si,92.43151683456219,-659.5280164981706,999.9999999999999,0.14905888571806228,20.966344432298914
1,gov,50,ta,47.47616885514557,-412.1626599943464,694.1196181560434,2.1117986766852218e-14,16.670929630739774
1,bible,1,ka,18.517153422060442,-136.11950565495692,236.0175937889159,7.47623448370549e-15,6.911043638798775
1,bible,1,gu,31.38857446653906,-186.6319875327643,295.1940693024681,8.642033835718974e-14,7.62749772993741
1,bible,1,hi,28.082338072193746,-193.84932572868044,330.351828021458,5.799961932235256e-12,10.016887411827701
1,bible,1,si,27.832003065011016,-202.38161340426274,316.94321748772796,2.5063488890630037e-12,16.96148327519564
1,bible,1,ta,21.62016544100921,-153.0597314291832,241.01090824798888,5.285718846720614e-15,12.637473297223059
1,bible,10,ka,30.943716621301288,-228.16201069197786,401.42127185884266,3.726558580289357e-15,11.729534972596438
1,bible,10,gu,56.17725394208611,-316.3988506861939,481.6273781181866,4.657028848099206e-11,12.616838168978239
1,bible,10,hi,47.273234839326065,-318.5996430452108,532.7320588779263,1.2995459673519246e-14,16.27988277690984
1,bible,10,si,48.20178172947465,-328.46583618506867,504.5452638624743,1.1883017379208074e-14,27.633179902211083
1,bible,10,ta,41.260003779349795,-269.09707293997303,408.51026788125307,2.2574413497869078e-14,21.835173849626308
1,bible,25,ka,35.56411507423609,-266.4874358731988,473.5076474817082,1.7702298169016586e-11,13.734932786731243
1,bible,25,gu,62.82552930739875,-360.4230870454626,555.5826412296616,2.3766034758416147e-14,14.510108220310618
1,bible,25,hi,55.419470820632824,-371.144596978842,616.432268490445,5.321280928130997e-13,18.879181367258543
1,bible,25,si,53.35547016138452,-369.00329508396084,568.7267413828444,7.072971728542807e-15,30.88948095522451
1,bible,25,ta,47.61991007721954,-312.6621282090232,476.50020504825534,4.086995854508075e-11,25.385169420398743
10,gov,1,ka,28.860128881534447,-340.75234455030323,615.8925753418193,1.3338382860698762e-13,7.021256616414353
10,gov,1,gu,27.534310298190213,-267.8029553406217,482.96489927248604,1.2836316253066997e-11,7.828730232374145
10,gov,1,hi,29.81388735141506,-314.8288517119565,566.1008327436004,5.546672453247935e-15,7.082368848154829
10,gov,1,si,25.086349678778774,-239.749043955404,420.3354057892173,6.611810783060699e-15,10.573960012140585
10,gov,1,ta,19.58634807117332,-214.07858601414802,380.5501291108073,1.7199501139797033e-15,10.163380192541197
10,gov,10,ka,40.93828442013008,-463.5515500495893,853.3344247342503,1.653698220585054e-14,9.683997281131544
10,gov,10,gu,35.77389424679542,-308.57557375505445,569.6463471114453,1.0255800994045675e-14,9.188491652565858
10,gov,10,hi,45.434450302501425,-428.7239853800811,771.0071522982568,7.433156651226965e-14,9.638914183473057
10,gov,10,si,51.881147168485455,-433.4822541500345,736.4453065452144,1.0950198975068616e-14,18.77589692285974
10,gov,10,ta,35.285872705797274,-336.2282840248046,587.7738675801945,1.5349477418661813e-14,15.898606415590951
10,gov,25,ka,45.37453035314744,-511.99473173365226,945.0584600832217,9.996486426456711e-12,10.773274422224407
10,gov,25,gu,37.134108585908,-318.9007810163326,595.3006306056361,3.8043354313802074e-14,9.69172098613854
10,gov,25,hi,46.48819649061833,-439.02365735761606,797.085520465643,6.595769384714087e-12,9.946231915437163
10,gov,25,si,58.452597854230326,-479.0299960218247,811.9358328838407,9.992351455757138e-11,20.644210286315804
10,gov,25,ta,37.54252483354651,-353.63668819651673,623.0658842241626,7.1783720590229e-13,16.58316418698415
10,gov,50,hi,44.655689706331195,-414.75175762403103,762.8593952152067,5.0043685120518837e-14,9.545821653926655
10,gov,50,si,60.11330760545541,-496.9196244456095,847.857747463562,3.419967498102412e-14,21.829592778700068
10,gov,50,ta,38.26551616278279,-354.5257460548854,629.7874670750915,1.907183047828294e-12,16.77310168543797
10,bible,1,ka,12.711002123848468,-108.55365531352689,222.9029096451529,4.593694506022584e-15,7.399474214051496
10,bible,1,gu,17.668376703613053,-118.17397841708173,224.46093527562306,4.71376517910313e-15,6.130487695145788
10,bible,1,hi,15.176626483945824,-120.96502166492773,245.92471821974522,2.1142875386882457e-15,8.2897114134195
10,bible,1,si,11.857311896936347,-125.16177023707225,241.85208193428574,2.831975612491561e-15,15.267841072777308
10,bible,1,ta,9.193620381143289,-92.24471426356038,179.47246011735416,4.328446199157271e-15,11.134665886955366
10,bible,10,ka,18.90190922938131,-159.82398409880182,330.8371299898244,7.479709212993427e-12,10.95831829890962
10,bible,10,gu,34.679302815817444,-210.3579489219979,367.5141366139169,1.9001470049870437e-10,10.329488273426236
10,bible,10,hi,24.50468358355397,-190.26301344142365,378.47733991286253,1.3807294645527456e-15,12.852260352690914
10,bible,10,si,24.336982578222514,-214.14369060884894,391.448773336174,4.643511395058807e-15,25.35218347109163
10,bible,10,ta,19.689391948122427,-162.79991937291956,297.50356437044775,1.014145232628763e-13,18.56060090310802
10,bible,25,ka,21.218343417209237,-184.15687120075947,384.2660965794049,6.368720296112374e-15,12.697725789530672
10,bible,25,gu,36.36817653368126,-223.99309233696766,400.0068913566382,4.2285750773764915e-15,11.157107563058629
10,bible,25,hi,28.41330217081379,-222.7620089868634,441.9361467387892,1.1007919608838397e-13,15.015177396847069
10,bible,25,si,26.50941310188042,-236.51545476517072,434.3808834646119,1.0520353719651999e-13,28.06909484507078
10,bible,25,ta,23.261260462550972,-192.02302793683575,351.2136615160172,7.340857906261311e-11,22.262325849964192
50,bible,1,hi,13.734347645265162,-110.89299224615128,234.511579664788,2.7733362266239673e-15,7.8882729008076105
50,bible,1,si,10.4638614633273,-119.17135546738345,240.5255890961299,2.8608446115907795e-15,15.313255449067391
50,bible,1,ta,8.15360756933639,-85.4335580585475,174.190936267738,5.733167046599011e-16,10.92647376769145
50,bible,10,hi,22.68689230044869,-178.05834270392546,363.26357999613936,1.7024527284094393e-10,12.35692552029671
50,bible,10,si,21.35753365342028,-198.32180373260033,377.3966095484973,3.7331679119622444e-15,24.609908520891725
50,bible,10,ta,18.10474079372506,-155.02712855450886,292.61738682557734,9.701663853296368e-14,18.52593934651828
50,bible,25,hi,27.344001877159283,-215.1220056255616,433.30066803146644,5.807502958986477e-14,14.796287012417256
50,bible,25,si,22.890962689138355,-217.0536644621441,415.97453507394664,9.39959687352353e-15,27.112410951975928
50,bible,25,ta,20.8953479331393,-177.98608995780643,336.1805261258265,1.7397597428321955e-11,21.58939423279197
