train set 1,train set 1 size,train set 2 size,language to,c0,c1,rmse,kfold rmse
cc_align,25,1,ka,21.85081853924582,-41.07938205390785,1.9454124576187561,1.9480049811575422
cc_align,25,1,gu,27.709135746268544,-47.46205135798136,3.619172921950367,3.623276691325679
cc_align,25,1,hi,27.91773532234204,-50.126927272689855,1.9068900707749359,1.9073464057920728
cc_align,25,1,si,33.59133582455414,-58.08893909624514,2.0775975672007374,2.1140996060600776
cc_align,25,1,ta,25.82890331831241,-45.07052640760866,2.5370046191904976,2.545641912697978
cc_align,25,10,ka,35.3310321097862,-66.67795952121206,2.943963209943081,2.9439782695610166
cc_align,25,10,gu,38.353049051261166,-65.55915126234436,4.631119730970926,4.631119742299181
cc_align,25,10,hi,38.85693186437458,-70.00446864082217,2.6265960264201724,2.6270998575423516
cc_align,25,10,si,46.69789163657801,-83.19729488183454,3.674370869866717,3.7167590236246215
cc_align,25,10,ta,36.74934319045151,-64.12294611903299,3.309817809974408,3.3246079518923435
cc_align,25,25,ka,39.93541419250255,-75.23130339040368,2.8990456018481088,2.8993221811078276
cc_align,25,25,gu,42.44803100352504,-72.64534845578542,4.751595874157457,4.752410983169647
cc_align,25,25,hi,42.70924816648816,-77.24603406610395,2.5085731735823913,2.508785857759519
cc_align,25,25,si,51.44684155122131,-92.15147768564763,4.025794704201139,4.0793440543463335
cc_align,25,25,ta,40.822467606703015,-70.94431333230982,3.3852409794570613,3.406529427437226
cc_align,25,50,hi,49.6551288663638,-88.05772727283859,0.026874358868788667,0.06728053250477511
cc_align,25,50,si,57.814496726662306,-99.21245236891512,3.238628607523072,10.509095140574665
cc_align,25,50,ta,47.26874916049535,-78.71021825995597,2.429735247997096,7.72888046370446
cc_align,100,1,ka,24.433070280161235,-45.161739872280066,2.3921229692347414,2.3922054165185176
cc_align,100,1,gu,28.186542908549285,-47.66662146623133,3.764536230856769,3.7679652961044505
cc_align,100,1,hi,29.4556837320283,-52.28556641129159,2.3312036092395187,2.3313431795841444
cc_align,100,1,si,35.22887847576579,-60.48002333351625,2.2330604257962245,2.2595099080111094
cc_align,100,1,ta,27.220750158521547,-46.849967057781285,2.829451332933709,2.833608129621758
cc_align,100,10,ka,35.81544637940156,-66.96829141050247,2.9153758674296815,2.915453602855696
cc_align,100,10,gu,38.88058666801079,-65.30911720391896,4.705548005517969,4.705933573156411
cc_align,100,10,hi,39.45797740954512,-70.10267249334356,2.830825695399997,2.8327499955539017
cc_align,100,10,si,47.43008851489326,-83.01686578586595,3.725111498783353,3.74772665841845
cc_align,100,10,ta,37.56942388549894,-63.95288082690715,3.2942025721437593,3.302768761445887
cc_align,100,25,ka,40.528452003610155,-75.83726037933863,2.8693932494785392,2.8694844503920947
cc_align,100,25,gu,42.557415802728904,-71.72958358093864,4.67110251542579,4.671370054270639
cc_align,100,25,hi,43.49148943954364,-77.722515108027,2.5728752891670963,2.5742952754115587
cc_align,100,25,si,52.06457167973538,-91.93032099784655,4.049897436753222,4.081489304446119
cc_align,100,25,ta,41.44973576508892,-70.15885585570071,3.38808851219166,3.3999862131756178
cc_align,100,50,hi,49.74132709060333,-85.60818978656009,0.8000699248956936,2.002992177444983
cc_align,100,50,si,58.12607748385527,-97.48526583405514,3.096289190220476,10.047214925222965
cc_align,100,50,ta,47.49679220685635,-76.92151790973853,1.8819102966124899,5.986273499560874
gov,25,1,ka,20.712908430667788,-37.491089533389626,0.6526923214211182,0.9768723894993071
gov,25,1,gu,21.051217098918936,-34.02663437065209,0.8111715092055212,1.2419870466905467
gov,25,1,hi,24.06600581575081,-42.405953451929136,0.7833375589307513,1.1774133518584595
gov,25,1,si,31.557402342999197,-55.59563851874585,2.0922413112627187,3.413187571035922
gov,25,1,ta,21.278030907224725,-37.21500675028033,1.449626443751687,2.3455265053931433
gov,25,10,ka,30.276068416024458,-54.99745741602163,1.1046779036720233,1.6691452240561924
gov,25,10,gu,28.363254361563666,-41.345344945338,2.3327718078352726,3.6157265681876023
gov,25,10,hi,33.90909095399309,-60.10663499668489,1.4267824028207838,2.168555731611571
gov,25,10,si,42.62943899467167,-74.30025434911795,4.393324936634681,7.293164057447004
gov,25,10,ta,31.052640332553043,-51.50631076227892,3.395435036407827,5.538544347093716
gov,25,25,ka,34.8368149161626,-64.2669707810231,1.1507148291096727,1.735988137684921
gov,25,25,gu,32.3662173208869,-47.423578627845174,2.5743416008644964,3.9840435535259298
gov,25,25,hi,38.727593665716306,-68.79023356100075,1.8844177858570248,2.8591823268366707
gov,25,25,si,46.50454026427679,-81.99792819817684,4.751109256677267,7.890741142973926
gov,25,25,ta,35.53718550589997,-58.75641952962928,3.876194549159801,6.300657467093117
gov,1,1,ka,16.30185431996176,-30.538375209707937,0.6212237252690191,0.9297739302277985
gov,1,1,gu,18.959275935427367,-28.968375299999142,1.3957525369350394,2.137040751044935
gov,1,1,hi,22.589882926329235,-39.37068706823252,0.9352484936624504,1.405746540798729
gov,1,1,si,28.945561411970875,-49.58259229538185,2.457894700302242,4.009697923861164
gov,1,1,ta,19.592944147620365,-33.09290605578929,1.8339644423005188,2.9673935846758
gov,1,10,ka,27.95800644621018,-52.557580173211534,0.975414233963655,1.4738305208105655
gov,1,10,gu,27.530307150879043,-38.26968269181831,3.0341088360254713,4.702777996699162
gov,1,10,hi,33.26627556974477,-57.607708714078434,2.0725488117585074,3.1500511892339373
gov,1,10,si,41.1552946508502,-69.5929745750279,4.698810779664964,7.800287569270766
gov,1,10,ta,29.748134290530754,-47.01623594867628,4.003067305398902,6.529698126343359
gov,1,25,ka,33.236523931668124,-62.881308635100865,0.9600171546862208,1.4482983536405556
gov,1,25,gu,32.24111174828637,-46.355778547123,3.246370733616941,5.024073879425531
gov,1,25,hi,37.31181412826424,-64.23933863421529,2.5287722949202918,3.8368461115654586
gov,1,25,si,46.296254079709726,-79.79576675962856,5.203027575394639,8.641296492948666
gov,1,25,ta,34.73676359500784,-55.22700120751215,4.523806302587036,7.353334204098748
gov,10,1,ka,20.383418193846627,-37.23504295068522,0.6485146550492626,0.9706197543797236
gov,10,1,gu,20.726677700213248,-33.17397447202745,0.9563583108024574,1.464282979039603
gov,10,1,hi,23.655654039150946,-41.49312058962807,0.8083669825691451,1.2150343968925506
gov,10,1,si,30.494286692829597,-53.36985106142083,2.0534501568898307,3.349905441360468
gov,10,1,ta,20.61990107405624,-36.048154391173036,1.5301624590576068,2.4758354959288553
gov,10,10,ka,29.745241098728158,-54.54474025586418,1.0138454974765536,1.5318993567434382
gov,10,10,gu,28.277869756044787,-40.93256458447945,2.5690591567336694,3.981964895621538
gov,10,10,hi,33.54480258502684,-58.83093922373916,1.6875039525526236,2.5648244337681465
gov,10,10,si,41.45758675270036,-71.07473456416741,4.635150886655358,7.69460860167894
gov,10,10,ta,30.312797734841684,-49.38177330354191,3.5168073731302973,5.736523711222261
gov,10,25,ka,34.286669422445875,-63.57413970398882,1.055365991897946,1.5921432456627382
gov,10,25,gu,32.066094497008315,-47.33239174988064,2.5307315171957856,3.9165527152274286
gov,10,25,hi,38.18407769932282,-67.3823326236446,1.978284497394926,3.001604057687295
gov,10,25,si,46.29496320807628,-80.22848509724616,5.053783362236643,8.393428597342162
gov,10,25,ta,35.596323964006395,-57.85442272288828,4.0893077340688615,6.647067628606891
gov,50,1,hi,24.275061659279626,-42.34147207010353,0.6591822910260634,0.9907989498449956
gov,50,1,si,32.077347865732456,-56.28175376206499,2.0753959625584684,3.3857068332655706
gov,50,1,ta,21.478030907224724,-37.215006750280324,1.449626443751687,2.3455265053931864
gov,50,10,hi,33.66200472099585,-58.8782044442625,1.6063491681409636,2.4414778936540644
gov,50,10,si,42.31830799497906,-72.96909733247287,4.54688127790976,7.5480761354593495
gov,50,10,ta,31.009916662872428,-50.5156870648052,3.563141990043488,5.8121035199441575
gov,50,25,hi,38.367535386664855,-67.33668242708454,2.0594601517159106,3.124769949001784
gov,50,25,si,47.09107294398693,-82.22434753182935,4.885975367808457,8.114729587469926
gov,50,25,ta,35.483560666513874,-57.5560255094905,4.035624426283047,6.559806752051498
bible,25,1,ka,27.560791534099863,-50.761521975963305,1.9669047341618922,5.240479621796231
bible,25,1,gu,33.70734000958264,-55.138084771842095,2.5792518114990464,6.566364700997137
bible,25,1,hi,28.494082800844364,-48.40577019523288,1.9512525143304171,5.481573715839643
bible,25,1,si,32.10163445049346,-53.560845728305964,2.311830303922549,8.02874618113164
bible,25,1,ta,28.75186808291718,-48.595298392993044,2.673721439956889,9.144512426438196
bible,25,10,ka,39.44758223903084,-69.76578115619043,2.2931685176587218,5.838468361894335
bible,25,10,gu,43.227090140432146,-64.31205903829895,2.9217705008577437,6.825707340622857
bible,25,10,hi,38.67333748278427,-57.12798760628081,3.127446823302749,7.934921895298144
bible,25,10,si,46.47645360272058,-70.3020306521522,5.535666504482379,18.37809977696903
bible,25,10,ta,38.10163969749059,-58.48137058059412,5.072045928273394,16.354240602228387
bible,25,25,ka,44.197225168558425,-79.12303534090697,2.221902915394371,5.589972748275422
bible,25,25,gu,47.02267108467323,-70.4333697551468,2.994779357793093,6.917996995709567
bible,25,25,hi,41.505619224423455,-60.747197297184485,2.821617888183183,7.107983783305114
bible,25,25,si,51.106478099982816,-76.02310220481017,6.409533616569491,20.970899923929036
bible,25,25,ta,41.95756732728147,-62.835327553230144,5.308936012469265,17.07861446892065
bible,25,50,hi,43.74204273240916,-63.83806260449412,2.2351892476385546,5.5958441116466355
bible,25,50,si,53.85550790908048,-80.71423255790256,6.607666270307218,21.441357409898714
bible,25,50,ta,44.461857052759946,-65.90028471018607,5.16179424346156,16.4194394096167
bible,1,1,ka,16.515749112963682,-31.65397541145621,1.568951962792673,4.180202856695885
bible,1,1,gu,30.28522264875763,-48.25592666618106,2.7872719983434613,7.095950996488091
bible,1,1,hi,26.379436588983868,-41.590636988500854,2.586411811187541,7.265900696306319
bible,1,1,si,28.705290200120448,-45.73221284220912,2.8296894324366204,9.827217069486599
bible,1,1,ta,25.462326878561694,-40.5296403231267,3.0902845088683186,10.56921812058008
bible,1,10,ka,37.930952368618016,-72.21319156351092,2.4029986082880805,6.118098709330745
bible,1,10,gu,43.30160460398423,-67.81737015812185,2.699996758777004,6.307609612266371
bible,1,10,hi,39.417746611668086,-61.622505169851465,2.713060656983464,6.883546108591003
bible,1,10,si,45.821824885545695,-70.7881676958291,5.354635035844833,17.77708553763613
bible,1,10,ta,37.16140540070359,-57.82183304563595,5.018328721465909,16.1810355214715
bible,1,25,ka,44.48278301161132,-84.21389713723585,2.139439509276567,5.382507251215394
bible,1,25,gu,48.40150018177488,-77.41767884990013,2.6052834443509907,6.018254064066013
bible,1,25,hi,42.8153066629761,-67.59094360422364,2.3334120854776526,5.878136558748251
bible,1,25,si,50.88224758463884,-78.90421369374499,5.851636120435089,19.145554546380787
bible,1,25,ta,41.460476938555956,-64.51476498368204,5.049944325261081,16.24544956241304
bible,1,50,hi,45.48214964349556,-72.28643086684667,1.7476008404969636,4.375156100615904
bible,1,50,si,54.380608238394935,-84.76566246873328,5.9716669189287295,19.377589530662906
bible,1,50,ta,44.173915394786306,-67.89466599946772,4.753662708202572,15.121191029641595
bible,10,1,ka,26.192092221199886,-48.93925537892009,1.836886904532457,4.89406946028245
bible,10,1,gu,32.44504700800636,-52.93433527421082,2.5618925919021427,6.5221708901060795
bible,10,1,hi,27.93351976521499,-46.88654583741668,1.8955107157504438,5.324980565683236
bible,10,1,si,31.31967688546937,-52.29877162707582,2.444654315182349,8.490030156584027
bible,10,1,ta,27.762690718480115,-46.557931520300194,2.7545832389844844,9.421071425809473
bible,10,10,ka,39.18797250520527,-71.08549604613756,2.0766460479674373,5.2871963645705
bible,10,10,gu,43.32430699340725,-65.46482733849794,2.926382006296961,6.836480529864601
bible,10,10,hi,38.356048769775775,-56.580833924586535,3.0348046243645417,7.699871180029071
bible,10,10,si,46.114216158924165,-70.40475758125577,5.675588041834628,18.84263136902291
bible,10,10,ta,37.98822821265769,-58.26152459127962,5.0541401926709,16.296505575309425
bible,10,25,ka,44.04312013572691,-79.6643555402457,2.2677999637016732,5.7054428021127315
bible,10,25,gu,47.44933295807727,-72.46900183182633,2.887065284434586,6.669175447656204
bible,10,25,hi,41.85698078097764,-62.60526865812373,2.8406457052415037,7.155917068548593
bible,10,25,si,50.573184792117225,-75.83895780307988,6.438567244139174,21.065892997468495
bible,10,25,ta,41.847965771136494,-63.737099981272536,5.118327789897256,16.46543617099661
bible,10,50,hi,44.18275402227288,-65.96726516106956,2.325407828696374,5.821708259885854
bible,10,50,si,53.89839677064027,-81.6667545857416,6.509822451764862,21.123861913320226
bible,10,50,ta,44.45121030068783,-66.8040871684876,4.972029672309368,15.815806693711348
